Nr;Datum;Hiragana;Katakana;Kanji;Romaji;Deutsch;Typ;Update
4;2019-03-21;した;;;shita;unten;Adverb;
4;2019-03-21;ち;;;chi;Blut;Substantiv;
4;2019-03-21;つけい;;;tsukei;Schreibtisch;Substantiv;
4;2019-03-21;いす;;;isu;Stuhl;Substantiv;
4;2019-03-21;て;;;te;Hand;Substantiv;
4;2019-03-21;あし;;;ashi;Fuß;Substantiv;
4;2019-03-21;とけい;;;tokei;Uhr;Substantiv;2019-03-27
4;2019-03-21;わたしのしゅいは、☐です。;;;watashino syumi wa, ☐ desu;Mein Hobby ist ☐.;Satz;
4;2019-03-21;わたしのしゅいは、☐と☐です。;;;watashino syumi wa, ☐ to ☐ desu;Mein Hobby ist ☐ und ☐.;Satz;
4;2019-03-21;はい、（とても）（よく）わかりました。;;;hai, (totemo) (yoku) wakarimashita;Ja, ich habe (sehr) (gut) verstanden.;Satz;
4;2019-03-21;いいえ、（ぜんぜん）　わかりません。;;;iee, (zennzenn) wakarimasenn;Nein, ich habe (gar) nicht verstanden.;Satz;
4;2019-03-21;すぽーつ;;;spo-tu;Sport;Substantiv;
4;2019-03-21;けんどう;;;kenndou;Kendo;Substantiv;
4;2019-03-21;じょぎんぐ;;;jyoginngu;Jogging;Substantiv;
4;2019-03-21;さんぽ;;;sannpo;Spaziergang;Substantiv;
4;2019-03-21;りようり;;;ryouri;kochen;Verb;
4;2019-03-21;どくしよ;;;dokusyo;Buch lesen;Verb;
4;2019-03-21;まんがぼんをよむこと;;;manngabonn o yomukoto;Manga lesen;Verb;
4;2019-03-21;おんがくかんしよう;;;onngakukannsyou;Musik hören;Verb;
4;2019-03-21;にわしごと;;;niwashigoto;im Garten arbeiten;Verb;
4;2019-03-21;さいくりんぐ;;;ge-mu;Game/Spiel;Substantiv;
4;2019-03-21;にほんごがくしゆう;;;nihonngo gakusyuu;Japanisch lernen;Verb;
4;2019-03-21;しゃしん;;写真;shashinn;Fotografie;Substantiv;
5;2019-03-28;あなた;;;anata;Du / Sie;Personalpronomen;2019-03-31
5;2019-03-28;わたし;;;watasi;Ich;Personalpronomen;2019-03-31
5;2019-03-28;にく;;肉;niku;Fleisch;Substantiv;
5;2019-03-28;いぬ;;犬;inu;Hund;Substantiv;
5;2019-03-28;ねこ;;猫;neko;Katze;Substantiv;
5;2019-03-28;のり;;海苔;nori;Nori;Substantiv;
5;2019-03-28;にじゅういち;;二十一;nijyuuichi;21;Zahl;
5;2019-03-28;にじゅうに;;二十二;nijyuuni;22;Zahl;
5;2019-03-28;にじゅうさん;;二十三;nijyuusann;23;Zahl;
5;2019-03-28;にじゅうよん　（にじゅうし）;;二十四;nijyuuyonn (nijyuushi);24;Zahl;
5;2019-03-28;にじゅうご;;二十五;nijyuugo;25;Zahl;
5;2019-03-28;にじゅうろく;;二十六;nijyuuroku;26;Zahl;
5;2019-03-28;にじゅうしち　（にじゅうなな）;;二十七;nijyuushichi (nijyuunana);27;Zahl;
5;2019-03-28;にじゅうはち;;二十八;nijyuuhachi;28;Zahl;
5;2019-03-28;にじゅうきゅう;;二十九;nijyuukyuu;29;Zahl;
5;2019-03-28;さんじゅう;;三十;sannjyuu;30;Zahl;
5;2019-03-28;わたしのすきなたべものは、☐です。;;;watashino sukinatabemono wa ☐ desu;Mein Lieblingsessen ist ☐.;Satz;2019-04-11
5;2019-03-28;あたまが　よい　（いい）。;;;atamaga yoi (ii);klug;Adjektiv;
5;2019-03-28;ぴざ;;;piza;Pizza;Substantiv;
5;2019-03-28;めんるい;;;mennrui;Nudelgericht;Substantiv;
5;2019-03-28;けばぶ;;;kebabu;Kebap;Substantiv;
5;2019-03-28;さかな;;;sakana;Fisch;Substantiv;
5;2019-03-28;やさい;;;yasai;Gemüse;Substantiv;
5;2019-03-28;くだもの;;;kudamono;Obst;Substantiv;
5;2019-03-28;あまいもの;;;amaimono;Süßigkeiten;Substantiv;
5;2019-03-28;あいす;;;aisu;Eis;Substantiv;
5;2019-03-28;ちゅうかりょうり;;;chuukaryouri;chinesisches Gericht;Substantiv;
5;2019-03-28;いんどようり;;;inndoryouri;indisches Gericht;Substantiv;
5;2019-03-28;からいもの;;;karaimono;scharfes Essen;Substantiv;
5;2019-03-28;はんバーがー;;;hannba-ga-;Hamburger;Substantiv;
5;2019-03-28;ふらいどぽてと;;;huraidopoteteo;Pommes Frites;Substantiv;
5;2019-03-28;いたりようり;;;itariaryouri;italienisches Gericht;Substantiv;
6;2019-04-04;ひゃく;;百;hyaku;100;Zahl;
6;2019-04-04;ひゃくいち;;百一;hyakuichi;101;Zahl;
6;2019-04-04;ひゃくに;;百二;hyakuni;102;Zahl;
6;2019-04-04;ひゃくさん;;百三;hyakusann;103;Zahl;
6;2019-04-04;ひゃくよん　（ひゃくし）;;百四;hyakuyonn (hyakushi);104;Zahl;
6;2019-04-04;ひゃくご;;百五;hyakugo;105;Zahl;
6;2019-04-04;ひゃくろく;;百六;hyakuroku;106;Zahl;
6;2019-04-04;ひゃくしち　（ひゃくなな）;;百七;hyakushichi (hyakunana);107;Zahl;
6;2019-04-04;ひゃくはち;;百八;hyakuhachi;108;Zahl;
6;2019-04-04;ひゃくきゅう;;百九;hyakukyuu;109;Zahl;
6;2019-04-04;ひゃくじゅう;;百十;hyakujyuu;110;Zahl;
6;2019-04-04;は;;歯;ha;Zahn;Substantiv;
6;2019-04-04;は;;葉;ha;Blatt;Substantiv;
6;2019-04-04;ひ;;火;hi;Feuer;Substantiv;
6;2019-04-04;ひ;;日;hi;Tag;Substantiv;
6;2019-04-04;とうふ;;豆腐;tofu;Tofu;Substantiv;
6;2019-04-04;へいわ;;平和;heiwa;Frieden;Substantiv;
6;2019-04-04;ほんとう;;本当;hontou;echt;Adjektiv;
6;2019-04-04;わたしのすきなのみものは、☐です。;;好きな飲み物;watashino sukinanomimono wa ☐ desu;Mein Lieblingsgetränk ist ☐.;Satz;2019-04-11
6;2019-04-04;すきなのみもの;;;sukinanomimono;Lieblingsgetränk;Substantiv;
6;2019-04-04;みず;;水;mizu;Wasser;Substantiv;
6;2019-04-04;たんさんすい;;;tannsannsui;Sprudel;Substantiv;
6;2019-04-04;こーひー;;;ko-hi-;Kaffee;Substantiv;
6;2019-04-04;おれんじじゆーす;;;orennjijyu-su;Orangensaft;Substantiv;
6;2019-04-04;りんごじゆーす;;;rinngojyu-su;Apfelsaft;Substantiv;
6;2019-04-04;びーる;;;bi-ru;Bier;Substantiv;
6;2019-04-04;わいん;;;wain;Wein;Substantiv;
6;2019-04-04;さけ;;酒;sake;Sake;Substantiv;
6;2019-04-04;こーら;;;ko-ra;Cola;Substantiv;
