course;number;created_at;hiragana;katakana;kanji;kana;german;pos;key;updated_at
A1.1;1;2019-02-21;;;;<ruby><rb>先</rb><rt>せん</rt></ruby><ruby><rb>生</rb><rt>せい</rt></ruby>;Lehrer(in);名;teacher;2020-01-15
A1.1;1;2019-02-21;;;;<ruby><rb>生</rb><rt>せい</rt></ruby><ruby><rb>徒</rb><rt>と</rt></ruby>;Schüler(in);名;student;2020-01-15
A1.1;1;2019-02-21;;;;<ruby><rb>挨</rb><rt>あい</rt></ruby><ruby><rb>拶</rb><rt>さつ</rt></ruby>;Gruß / Grüße;名;regards;2020-01-15
A1.1;1;2019-02-21;;;;<ruby><rb>初</rb><rt>はじ</rt></ruby>めまして。;Darf ich mich vorstellen?;文;may_i_introduce;2020-01-15
A1.1;1;2019-02-21;;;;（<ruby><rb>私</rb><rt>わたし</rt></ruby>は、）☐ です。;Ich heiße ☐ .;文;my_name_is;2020-01-15
A1.1;1;2019-02-21;;;;（どうぞ）よろしく （お<ruby><rb>願</rb><rt>ねが</rt></ruby>いします）。;Es freut mich, Sie kennen zu lernen!;文;nice_to_meet_you;2020-01-15
A1.1;1;2019-02-21;;;;これから、<ruby><rb>授</rb><rt>じゅ</rt></ruby><ruby><rb>業</rb><rt>ぎょう</rt></ruby>をはじめましよう。;Sollen wir mit dem Unterricht anfangen?;文;lets_start_with_the_lessons;2020-01-15
A1.1;1;2019-02-21;;;;みなさん、お<ruby><rb>茶</rb><rt>ちや</rt></ruby>を<ruby><rb>飲</rb><rt>の</rt></ruby>みましようか。;Lasst uns Tee trinken.;文;lets_trink_tea;2020-01-15
A1.1;1;2019-02-21;;;;お<ruby><rb>茶</rb><rt>ちや</rt></ruby>;Tee;名;tea;2020-01-15
A1.1;1;2019-02-21;;;;はい、 そうですね。;Ja, gerne!;文;yes_of_course;2020-01-15
A1.1;1;2019-02-21;;;;そうですね;gerne;副;of_course;2020-01-15
A1.1;1;2019-02-21;;;;<ruby><rb>今</rb><rt>きよう</rt></ruby><ruby><rb>日</rb><rt></rt></ruby>は、これで<ruby><rb>終</rb><rt>お</rt></ruby>わりです。;Für heute sind wir fertig.;文;we_are_done_for_today;2020-01-15
A1.1;1;2019-02-21;;;;ありがとう　ございました。;Vielen Dank.;文;thank_you;2020-01-15
